2006,Angola,07.01.1970,180,36,Capricorn
2006,Angola,06.08.1984,178,22,Leo
2006,Angola,10.07.1977,182,29,Cancer
2006,Angola,29.05.1977,187,29,Gemini
2006,Angola,11.10.1978,187,28,Libra
2006,Angola,27.05.1981,182,25,Gemini
2006,Angola,28.11.1972,170,34,Sagittarius
2006,Angola,14.05.1978,175,28,Taurus
2006,Angola,18.03.1982,178,24,Pices
2006,Angola,30.05.1977,180,29,Gemini
2006,Angola,18.06.1984,174,22,Gemini
2006,Angola,01.02.1981,187,25,aquarium
2006,Angola,02.03.1980,175,26,Pices
2006,Angola,09.10.1982,172,24,Libra
2006,Angola,03.09.1977,185,29,Virgo
2006,Angola,30.12.1979,173,27,Capricorn
2006,Angola,12.10.1983,175,23,Libra
2006,Angola,14.03.1979,178,27,Pices
2006,Angola,11.02.1980,189,26,aquarium
2006,Angola,25.12.1984,180,22,Capricorn
2006,Angola,01.11.1979,178,27,Scorpio
2006,Angola,01.06.1985,184,21,Gemini
2006,Angola,08.12.1974,180,32,Sagittarius
2006,Argentina,19.08.1972,186,34,Leo
2006,Argentina,14.04.1973,177,33,Aries
2006,Argentina,05.05.1976,173,30,Taurus
2006,Argentina,22.01.1982,183,24,aquarium
2006,Argentina,18.08.1980,178,26,Leo
2006,Argentina,19.04.1978,178,28,Aries
2006,Argentina,11.12.1981,169,25,Sagittarius
2006,Argentina,08.06.1984,171,22,Gemini
2006,Argentina,05.07.1975,184,31,Cancer
2006,Argentina,24.06.1978,182,28,Cancer
2006,Argentina,05.02.1984,168,22,aquarium
2006,Argentina,20.05.1977,188,29,Taurus
2006,Argentina,16.05.1978,182,28,Taurus
2006,Argentina,05.02.1982,175,24,aquarium
2006,Argentina,07.09.1980,177,26,Virgo
2006,Argentina,03.11.1979,170,27,Scorpio
2006,Argentina,09.05.1978,177,28,Taurus
2006,Argentina,02.01.1981,173,25,Capricorn
2006,Argentina,24.06.1987,170,19,Cancer
2006,Argentina,10.10.1974,190,32,Libra
2006,Argentina,12.04.1981,174,25,Aries
2006,Argentina,19.01.1981,185,25,Capricorn
2006,Argentina,03.07.1986,184,20,Cancer
2006,Australia,06.10.1972,196,34,Libra
2006,Australia,09.03.1978,185,28,Pices
2006,Australia,12.12.1975,186,31,Sagittarius
2006,Australia,06.12.1979,180,27,Sagittarius
2006,Australia,05.08.1980,175,26,Leo
2006,Australia,04.07.1973,193,33,Cancer
2006,Australia,22.02.1979,185,27,Pices
2006,Australia,10.12.1975,177,31,Sagittarius
2006,Australia,09.10.1975,188,31,Libra
2006,Australia,22.09.1978,183,28,Virgo
2006,Australia,16.08.1972,175,34,Leo
2006,Australia,13.06.1975,192,31,Gemini
2006,Australia,05.10.1979,183,27,Libra
2006,Australia,30.12.1975,180,31,Capricorn
2006,Australia,05.02.1976,188,30,aquarium
2006,Australia,08.03.1981,191,25,Pices
2006,Australia,23.10.1978,171,28,Scorpio
2006,Australia,16.12.1972,202,34,Sagittarius
2006,Australia,20.08.1982,192,24,Leo
2006,Australia,02.10.1981,177,25,Libra
2006,Australia,27.05.1979,180,27,Gemini
2006,Australia,04.08.1985,178,21,Leo
2006,Australia,11.02.1980,182,26,aquarium
2006,Brazil,07.10.1973,195,33,Libra
2006,Brazil,07.06.1970,176,36,Gemini
2006,Brazil,08.05.1978,188,28,Taurus
2006,Brazil,01.02.1979,182,27,aquarium
2006,Brazil,04.04.1976,184,30,Aries
2006,Brazil,10.04.1973,168,33,Aries
2006,Brazil,17.02.1982,189,24,aquarium
2006,Brazil,22.04.1982,183,24,Taurus
2006,Brazil,22.09.1976,183,30,Virgo
2006,Brazil,21.03.1980,178,26,Aries
2006,Brazil,06.07.1974,172,32,Cancer
2006,Brazil,22.01.1973,188,33,aquarium
2006,Brazil,24.06.1980,172,26,Cancer
2006,Brazil,13.02.1981,192,25,aquarium
